,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
3215,Solid Wrap Casual Orange Dress,"3,050",793,4.0,4.0,Evening,Chiffon,Solid/Plain,N/A,Semi-Fit,Full Sleeves,Knee Length,N/A,V-Neck,Nidwait Retail Pvt Ltd,India
3216,Pleated Waisted Skater Dress,"2,499",925,2.7,2.7,Party,Polyester,Solid/Plain,Zipper,A-Line,Full Sleeves,Mini,N/A,High Neck,Khullar Appearls_parent,India
3217,Black Sequin Embellished Cape,"2,990","1,047",4.3,4.3,Party,Polyester,Embellished/Sequined,Front Closure,N/A,Three Fourth Sleeves,Overlays,N/A,Keyhole Neck,Kazo Fashion Pvt Ltd_mp,India
3218,Pink My Club Essential Wrap Dress,"2,595","2,595",4.5,4.5,Party,Polyester,Solid/Plain,Side Closure,Comfortable,Sleeveless,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
3219,Color Block High Neck Top - White and Black,"2,495","2,371",5.0,5.0,Formal,Polyester,Colorblock,Button Fly,Relaxed,Three Fourth Sleeves,Regular,N/A,High Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3220,Blue Solid Top,"1,549",620,4.4,4.4,Casual,Denim,Solid/Plain,N/A,Relaxed,Sleeveless,Vests & Tank Tops,N/A,Shoulder Straps,Pants Theory Private Limited,India
3221,Cotton Striped Top - Blue And White,"2,295","1,722",NaN,0,Casual,Cotton,Stripes,Slip On,Comfortable,Three Fourth Sleeves,Regular,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3222,Purple Pleated Top with Smocking,"2,490","1,245",5.0,5.0,Party,Polyester,Pleated,Slip On,Normal,Puff Sleeves,Regular,N/A,Square Neck,Kazo Fashion Pvt Ltd_mp,India
3223,Women Red Polyester Smart Casual Ruffled Top,"1,599",949,3.6,3.6,Work,Polyester,Solid/Plain,Front Closure,Normal,Full Sleeves,Shirts,N/A,Mandarin Neck,Krislon Synthetics Pvt Ltd,India
3224,Floral Printed Bardot Bridesmaid Blue Dress,"8,699","5,220",5.0,5.0,Casual,Blended Fabric,Printed,Zipper,Normal,Half Sleeves,Midi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
3225,women Pink Polyester Crop Top,"1,299",611,3.8,3.8,Casual,Polyester,Solid/Plain,Slip On,Normal,Sleeveless,Crop Tops,N/A,Sweetheart,Lueur Vestures Pvt Ltd,India
3226,Black V Neck Wrap Maxi Dress,"3,999","2,200",3.8,3.8,Festive,Satin,Pleated,Side Closure,Tailored,Full Sleeves,Maxi,N/A,V-Neck,Mish Desings Limited,India
3227,Pink Solid Sweetheart Neckline Short Dress,"2,595","2,076",NaN,0,Party,Rayon,Solid/Plain,Elastic,Comfortable,Sleeveless,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
3228,Women Black Floral Print Co-Ord (Set of 2),"3,698","1,332",3.6,3.6,Party,Georgette,Floral,Zipper,A-Line,Full Sleeves,N/A,N/A,Off Shoulder,Nidwait Retail Pvt Ltd,India
3229,Pink Solid Collar Neck Crop Tops,"2,599","1,560",4.0,4.0,Casual,Crepe,Solid/Plain,Tie-Ups,Normal,Full Sleeves,Crop Tops,N/A,Collar Neck,Jain Amar Clothing Pvt Ltd_parent.,India
3230,Liza Petite Frill Bodycon Dress,"9,000","6,300",5.0,5.0,Party,Blended Fabric,Woven,Zipper,Normal,Ruffled Sleeves,Midi,N/A,Round Neck,Forever New Apparels Pvt Ltd_parent,China
3231,Women A-Line Multi-Color Dress,"2,599","1,040",5.0,5.0,Casual,Polyester,Floral,Pull On,Normal,Balloon Sleeve,Mini,N/A,Plunging Neck,Khullar Appearls_parent,India
3232,Green & Yellow Floral Print Chiffon Tube Crop Top,"1,698",646,4.3,4.3,Resort/Vacation,Chiffon,Floral,Slip On,Gathered,Balloon Sleeve,Crop Tops,N/A,Off Shoulder,Nidwait Retail Pvt Ltd,India
3233,Teal Floral Dresses,"3,499","1,400",4.4,4.4,Casual,Linen,Floral,Slip On,Normal,Three Fourth Sleeves,Mini,N/A,Square Neck,Ochre And Black Private Limited_parent,India
3234,Beige Half Volume Sleeves Square Neck Cotton Tiered Midi Dress,"1,349","1,349",4.8,4.8,Casual,Cotton,Solid/Plain,Pull On,Normal,Balloon Sleeve,Midi,N/A,Square Neck,Premiere Retail Trading Private Limited,India
3235,Haven Petite Linen Jumpsuit (Set of 2),"8,000","5,595",5.0,5.0,Casual,Blended Fabric,Solid/Plain,Zipper,Normal,Puff Sleeves,Jumpsuits,N/A,Square Neck,Forever New Apparels Pvt Ltd_parent,China
3236,Multi Floral Three Tier Maxi Dress,"5,799","5,510",NaN,0,Resort/Vacation,Georgette,Floral,Tie-Ups,Gathered,Sleeveless,Gown,N/A,Halter Neck,Binfinite And Vara Lifestyle Private Limited,India
3237,Beige Styles Of The Spotlight Jacket,"2,295","1,377",4.7,4.7,Party,Cotton,Solid/Plain,Front Closure,Comfortable,Full Sleeves,Jackets,N/A,Notched Lapel,Nykaa Fashion Pvt Ltd,India
3238,Multi-Color Wrap Bodycon Mini Dress,"3,990","1,995",NaN,0,Party,Polyester,Textured,Slip On,Normal,Full Sleeves,Mini,N/A,V-Neck,Kazo Fashion Pvt Ltd_mp,India
3239,White Asymmetry Corset Dress with Detachable Sleeve (Set of 2),"4,590","3,672",NaN,0,Party,Polyester Blend,Solid/Plain,Zipper,Regular,Full Sleeves,Mini,N/A,Shoulder Straps,Cacti Designs Pvt Ltd,India
3240,Women Royal Blue Box Neck Slim Fit Smart Crop Top,799,400,4.0,4.0,Casual,Blended Fabric,Solid/Plain,Slip On,Super Slim,Half Sleeves,Crop Tops,N/A,Square Neck,Jerado Brands Private Limited,India
3241,White Graphic Oversized T-Shirt,799,496,4.3,4.3,Casual,Cotton,Graphic,N/A,Oversized,Half Sleeves,N/A,N/A,Round Neck,Elcinco Inc,India
3242,Black Solid Short Wrap Dress,"3,995","3,396",4.6,4.6,Casual,Satin,Solid/Plain,Tie-Ups,Comfortable,Half Sleeves,Mini,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
3243,Women Grey Solid Polycotton Smart Casual Shirt,"1,299",939,4.0,4.0,Formal,Polyester,Solid/Plain,Button Fly,Normal,Three Fourth Sleeves,Shirts,N/A,Collar Neck,Krislon Synthetics Pvt Ltd,India
3244,Solid Button Down Top,"2,499",875,4.7,4.7,Casual,Viscose,Solid/Plain,Button Fly,Comfortable,Full Sleeves,Regular,N/A,Crew Neck,Only Retail Private Limited_parent,India
3245,Purple One Shoulder Maxi Dress With Slit,"5,990","2,995",3.8,3.8,Party,Polyester,Solid/Plain,Pull On,Normal,Sleeveless,Gown,N/A,One Shoulder,Kazo Fashion Pvt Ltd_mp,India
3246,Women Black Cutout Dress,"1,499",450,4.2,4.2,Casual,Cotton,Stripes,Pull On,Semi-Fit,Full Sleeves,Mini,N/A,Round Neck,Rigo International,India
3247,Navy Blue Solid High Waist Straight Fit Trousers,"2,295","1,722",4.7,4.7,Casual,Cotton,Solid/Plain,Button Fly,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
3248,Pink Tiered Dress,"2,899","2,755",NaN,0,Resort/Vacation,Cotton,Colorblock,Slip On,Normal,Sleeveless,Mini,N/A,Halter Neck,Himson Petro Synthetics Ltd.,India
3249,Yellow Printed Short Dress,"3,800","1,900",2.9,2.9,Festive,Blended Fabric,Printed,Button Fly,Comfortable,Half Sleeves,Knee Length,N/A,Round Neck,Reliance Ritu Kumar Private Limited_parent,India
3250,Women Solid Red Pants (Set of 2),"3,499","1,225",4.1,4.1,Casual,Viscose,Solid/Plain,Tie-Ups,Normal,N/A,N/A,Mid Waist,N/A,Vero Moda Retail Pvt. Ltd_parent,China
3251,Black Dobby Wrap Mini Dress,"2,299","1,150",3.8,3.8,Casual,Polyester,Self Design,Button Fly,Normal,Half Sleeves,Mini,N/A,V-Neck,Femella Fashions Limited_mp,India
3252,Light Blue Scuba Crepe Ruched Sleeve Midi Dress,"3,500","2,800",5.0,5.0,Semi Formal,Scuba,Solid/Plain,Pull On,Comfortable,Three Fourth Sleeves,Midi,N/A,V-Neck,Globali Tradesense Llp,United Kingdom
3253,White Cotton Sleeveless Rib Tee,"1,495","1,077",4.5,4.5,Work,Cotton,Solid/Plain,N/A,Comfortable,Sleeveless,N/A,N/A,High Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3254,In A Casual Mood T-Shirt,"1,195",717,4.6,4.6,Casual,Cotton,Graphic,N/A,Loose,Half Sleeves,N/A,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,India
3255,Beige Long Sleeves Front Pleating Detail Wide Leg Jumpsuit,"1,899","1,805",3.9,3.9,Work,Polyester,Solid/Plain,Zipper,Tailored,Full Sleeves,Jumpsuits,N/A,V-Neck,Premiere Retail Trading Private Limited,China
3256,Beige High Waist Tapered Trousers,"1,500","1,500",NaN,0,Casual,Crepe,Solid/Plain,Front Closure,Normal,N/A,N/A,Mid Waist,N/A,High Street Essentials Private Limited_mp,India
3257,Women Black Solid Casual Blazer,"3,999","3,999",3.7,3.7,Work,Polyester,Solid/Plain,Button Fly,Normal,Full Sleeves,Blazer,N/A,Notched Lapel,Aditya Birla Fashion And Retail Limited_parent,India
3258,Olive Shirt Dress with Metal Belt (Set of 2),"2,499","1,250",5.0,5.0,Formal,Viscose,Solid/Plain,Button Fly,Normal,Balloon Sleeve,Knee Length,N/A,Mandarin Neck,Soch Retail Private Limited,India
3259,Black Clean Look Flared Jeans,"2,649","1,879",3.7,3.7,Casual,Cotton,Solid/Plain,N/A,Normal,N/A,N/A,Mid Waist,N/A,Arvind Lifestyle Brands Limited-parent,India
3260,Collared Crepe Top - Green,"1,499","1,125",5.0,5.0,Work,Crepe,Solid/Plain,Slip On,Comfortable,Full Sleeves,Regular,N/A,Collar Neck,Power Sutra Clothing Private Limited.,India
3261,Orange Abstract Print Bodycon Mini Dress,"2,990","2,990",4.6,4.6,Casual,Polyester,Abstract,Zipper,Comfortable,Full Sleeves,Mini,N/A,Off Shoulder,Future Style Lab Limited_gurgaon,India
3262,Solid Sleeveless Wide Leg Jumpsuit,"3,599","3,240",NaN,0,Everyday Essentials,Knitted,Solid/Plain,Zipper,Regular,Sleeveless,Jumpsuits,N/A,Round Neck,Nykaa Fashion Pvt Ltd,China
3263,Navy Rst Sat Hltr Palazzo Jumpsuit,"4,650","3,720",4.0,4.0,Casual,Polyester,Solid/Plain,Slip On,Comfortable,Sleeveless,Jumpsuits,N/A,Halter Neck,Globali Tradesense Llp,United Kingdom
3264,White Halter Neck Crop Top,995,747,4.2,4.2,Evening,Polyester,Solid/Plain,Tie-Ups,Fitted,Sleeveless,Crop Tops,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,India
3265,Women Casual Black Victorian Crop Fitted Top,"1,390",598,3.5,3.5,Casual,Georgette,Solid/Plain,Button Fly,Semi-Fit,Full Sleeves,Crop Tops,N/A,Sweetheart,Epic Brands Pvt Ltd,India
3266,Quarter Sleeve Colour Block Above Knee Dress,"2,995","2,097",NaN,0,Work,Polyester,Solid/Plain,N/A,Regular,Three Fourth Sleeves,Knee Length,N/A,Round Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3267,Royal Blue V Neck Fit And Flare Ruffled Midi Dress,"6,995","5,946",NaN,0,Party,Polyester,Solid/Plain,Zipper,Comfortable,Sleeveless,Midi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
3268,Black Embroidered Co-ord Set GGSKD50 (Set of 2) (Free Size) (Free Size),"2,999","2,999",4.0,4.0,Fusion,Georgette,Embroidered,Drawstring,Comfortable,Half Sleeves,N/A,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
3269,Amaryllis Tie-up Co Ord (Set of 2),"9,400","7,050",NaN,0,Festive,Cotton,Floral,Front Closure,Comfortable,Half Sleeves,N/A,N/A,Shawl Lapel,Aroop India,India
3270,Blue Floral Printed T-Shirt,"1,199",720,4.0,4.0,Casual,Cotton,Graphic,N/A,Normal,Half Sleeves,N/A,N/A,Round Neck,Awesomefab Shopping Private Limited,India
3271,Curve Black Shimmer Slit Gown,"3,295","2,472",4.0,4.0,Party,Polyester,Solid/Plain,Zipper,Fitted,Sleeveless,Maxi,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
3272,Womens Wine Color Embellished Keyhole Neck High Low Dress,"3,499","3,499",NaN,0,Party,Polyester,Embellished/Sequined,Back Closure,Normal,Cap,Midi,N/A,Keyhole Neck,Ikon Retail Private Limited,India
3273,Multicolor Abstract Round Neck Crop Top,995,796,NaN,0,Casual,Blended Fabric,Abstract,Button Fly,Comfortable,Full Sleeves,Crop Tops,N/A,Keyhole Neck,Nykaa Fashion Pvt Ltd,Turkey
3274,Gauri Red Shirt,"2,499","2,375",3.3,3.3,Casual,Cotton,Tie & Dye,Front Closure,Comfortable,Flared Sleeves,Shirts,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
3275,2 In 1 Multi-color Boucle Dress,"6,899","4,830",NaN,0,Evening,Blended Fabric,Solid/Plain,Zipper,Normal,Half Sleeves,Midi,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,China
3276,Stretchable Halter Neck LivIn Camisole - White,895,627,3.2,3.2,N/A,Cotton,Solid/Plain,Pull On,Semi-Fit,Sleeveless,Vests & Tank Tops,N/A,Shoulder Straps,Fablestreet Lifestyle Solutions Pvt Ltd,India
3277,Black Off Shoulder Ruched Maxi Dress,"2,600",910,NaN,0,Party,Georgette,Solid/Plain,Zip,Normal,Sleeveless,Maxi,N/A,Strapless/Tube,High Street Essentials Private Limited_mp,India
3278,Jersey Patch Beige Front Pocket Jacket,"3,999","3,600",NaN,0,Work,Polyester,Solid/Plain,Slip On,Tailored,Full Sleeves,Blazer,N/A,Notched Lapel,Nykaa Fashion Pvt Ltd,Bangladesh
3279,Women Black Solid Round Neck Sweatshirt,"1,699","1,105",5.0,5.0,Casual,Cotton,Solid/Plain,Pull On,Normal,Full Sleeves,Hoodies & Sweatshirts,N/A,Round Neck,Aditya Birla Fashion And Retail Limited_parent,India
3280,Orchid Co-ord Set (Set of 2),"5,850","5,850",NaN,0,Work,Cotton,Checks,Button Fly,Comfortable,Half Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
3281,Black Textured V Neck Ruffled Hem Top,"1,795","1,436",3.7,3.7,Party,Georgette,Self Design,Slip On,Comfortable,Full Sleeves,Regular,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
3282,Women Denim Blue Collar Dress,"3,490","1,745",NaN,0,Casual,Cotton,Solid/Plain,Button Fly,Comfortable,Sleeveless,Mini,N/A,Collar Neck,Jain Amar Clothing Private Limited.,India
3283,Iconic Go To Travel Pant -NYAT249-Surf the Web,"1,799","1,799",4.3,4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,Bangladesh
3284,Pink Pleated Lycra Knit Dress For Women,"2,795","1,677",NaN,0,Formal,Lycra,Pleated,Pull On,Comfortable,Sleeveless,Midi,N/A,One Shoulder,Taurus Clothing Co. Pvt. Ltd.,India
3285,Women Floral Printed Casual Wear Top,"2,199","1,210",NaN,0,Casual,Cotton,Floral,Pull On,Comfortable,Sleeveless,Regular,N/A,Square Neck,Vero Moda Retail Pvt. Ltd_parent,India
3286,Satin Floral Cowl Neck Mini Dress,"2,999","2,999",4.7,4.7,Party,Satin,Floral,Pull On,Regular,Sleeveless,Mini,N/A,Cowl Neck,Nykaa Fashion Pvt Ltd,China
3287,Texture V-Neck Sleeveless Bodysuit,"2,399","2,399",NaN,0,Casual,Knitted,Textured,N/A,N/A,Sleeveless,N/A,N/A,Plunging Neck,Nykaa Fashion Pvt Ltd,China
3288,Black Lycra Slim Straight Fit Ankle Length Jeans For Women (emma),"2,599","1,170",4.3,4.3,Casual,Lycra,Solid/Plain,N/A,Comfortable,N/A,N/A,Mid Waist,N/A,Spykar Lifestyles Private Limited (bhiwandi)_parent,India
3289,Classic Pencil Skirt - White,"2,195","1,537",3.8,3.8,Work,Cotton,Solid/Plain,N/A,Regular,N/A,Knee Length,N/A,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
3290,Blue Stripes Top,"1,299",650,3.6,3.6,Work,Polyester,Stripes,Pull On,Normal,Full Sleeves,Regular,N/A,Boat Neck,Sera Group,India
3291,Black One Shoulder Cut Out Gown,"2,995","2,247",4.5,4.5,Party,Polyester,Solid/Plain,Hook and Eye,Comfortable,Sleeveless,Maxi,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
3292,Linen Elasticated Wide Leg Trouser - Olive,"2,995","2,157",5.0,5.0,Work,Linen,Solid/Plain,Elastic,Comfortable,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
3293,Linen Elasticated Wide Leg Pants - Beige,"2,895","2,085",3.9,3.9,Work,Linen,Solid/Plain,Hook and Eye,Flared,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
3294,Selena Pintuck Flare Pants,"4,600","3,215",4.7,4.7,Work,Polyester,Solid/Plain,Zipper,Normal,N/A,N/A,High Waist,N/A,Forever New Apparels Pvt Ltd_parent,China
3295,Sap Green V Neck Pleat Detail Top,"1,795","1,257",3.8,3.8,Work,Polyester,Solid/Plain,Slip On,Comfortable,Three Fourth Sleeves,Regular,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3296,Garda Maxi Dress with Cowl Neck,"5,990","5,990",5.0,5.0,Evening,Viscose,Floral,Pull On,Skinny,Sleeveless,Gown,N/A,Cowl Neck,Salt Lake Shirts Pvt Ltd,India
3297,Women White Distressed Skinny Fit Jeans,"2,499","1,625",4.4,4.4,Casual,Cotton,Solid/Plain,N/A,Skinny,N/A,N/A,Mid Waist,N/A,Arvind Lifestyle Brands Limited-parent,India
3298,Basics White Solid Round Neck Loose Crop T-shirt,745,559,4.3,4.3,Casual,Cotton,Solid/Plain,N/A,Loose,Half Sleeves,N/A,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
3299,Nora Fur Collar Coat,"10,800","10,800",5.0,5.0,Work,Polyester,Solid/Plain,Tie-Ups,Normal,Full Sleeves,Coats,N/A,Notched Lapel,Forever New Apparels Pvt Ltd_parent,Vietnam
3300,Women Solid Grey Jacket,"5,799","2,610",4.0,4.0,Casual,Polyester,Solid/Plain,Button Fly,Normal,Full Sleeves,Jackets,N/A,Turtle Neck,Vero Moda Retail Pvt. Ltd_parent,Myanmar (formerly Burma)
3301,Feather Feel Running Top With Back TapeAnd 2 Side Keyholes For Breathability,999,900,4.3,4.3,Sports,Poly/Spandex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
3302,Bright Yellow Self Design Dress,"2,199",814,4.3,4.3,Party,Polyester,Self Design,Zipper,A-Line,Full Sleeves,Mini,N/A,V-Neck,Khullar Appearls_parent,India
3303,Multicolor Checked High Waist Tweed Pants,"4,295","3,436",4.0,4.0,Party,Viscose,Textured,Hook and Eye,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
3304,Iconic All Day Jogger -NYAT273-Tawny Port,"1,299","1,299",5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
3305,Curve Black Sequin Overlap Ruched Sheath Maxi Dress,"5,995","4,796",4.4,4.4,Party,Sequin,Embellished/Sequined,Zipper,Fitted,Full Sleeves,Gown,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
3306,Abstract Print Shirt Dress - Blue And White,"2,895","2,172",4.0,4.0,Casual,Rayon,Floral,Pull On,Comfortable,Three Fourth Sleeves,Knee Length,N/A,Mandarin Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3307,Navy Blue Ruched Bodycon Midi Dress,"3,500","2,800",NaN,0,Party,Blended Fabric,Solid/Plain,Pull On,Skinny,Sleeveless,Midi,N/A,Shoulder Straps,Globali Tradesense Llp,United Kingdom
3308,High Waist Airlift Leggings Anthracite,"15,399","11,550",5.0,5.0,Casual,Poly/Spandex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,Vietnam
3309,Stretch Pant Suit - Grey (Set of 2),"6,999","6,020",NaN,0,Work,Viscose,Solid/Plain,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Notched Lapel,Power Sutra Clothing Private Limited.,India
3310,Womens Shoulder Straps Backless Western Dress,"2,249","1,575",NaN,0,Casual,Georgette,Printed,Back Closure,Free,Sleeveless,Knee Length,N/A,Shoulder Straps,Bhumika Fashion,India
3311,Kethy Wrap Top,"1,890",756,4.1,4.1,Work,Polyester,Printed,Pull On,Normal,Full Sleeves,Regular,N/A,V-Neck,Future Style Lab Limited_gurgaon,India
3312,Carolina Satin Midi Dress (Set of 2),"8,800","6,155",NaN,0,Party,Satin,Solid/Plain,Zipper,Normal,Flared Sleeves,Midi,N/A,V-Neck,Forever New Apparels Pvt Ltd_parent,China
3313,Bae Crop Top-Blue,"2,950","2,803",NaN,0,Casual,Polyester,Printed,Back Closure,Fitted,Sleeveless,Crop Tops,N/A,Halter Neck,Innsaei Designs Llp,India
3314,Women Blue Solid Co-ords Set (Set of 2),"2,798","1,064",3.9,3.9,Resort/Vacation,Rayon,Solid/Plain,Slip On,Skinny,Sleeveless,N/A,N/A,Shoulder Straps,Nidwait Retail Pvt Ltd,India
3315,Women White Box Neck Slim Fit Smart Crop Top,799,432,4.2,4.2,Casual,Lycra,Solid/Plain,N/A,Super Slim,Cap,N/A,N/A,Square Neck,Jerado Brands Private Limited,India
3316,Essential Easy Care Work Trousers,"2,795","1,957",4.0,4.0,Evening,Polyester,Solid/Plain,N/A,Straight,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
3317,Jacquard Off-shoulder Ruffle Mini Dress,"4,899","4,410",NaN,0,Party,Jacquard,Floral,Zipper,Regular,Half Sleeves,Mini,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
3318,Women Floral Co-ord (Set of 2),"4,599","3,450",3.5,3.5,Casual,Modal,Floral,Back Closure,Comfortable,Sleeveless,N/A,N/A,Halter Neck,Arsa Enterprises,India
3319,Satin Cowl Neck Cami Corset Maxi Dress,"5,399","3,240",3.3,3.3,Casual,Satin,Solid/Plain,Slip On,Regular,Sleeveless,Maxi,N/A,Cowl Neck,Nykaa Fashion Pvt Ltd,China
3320,Diane Mini Dress,"3,500","3,500",NaN,0,Party,Polyester,Textured,Pull On,Empire,Full Sleeves,Mini,N/A,Plunging Neck,Miakee,India
3321,Women Navy Blue High-Rise Wide Leg Jeans,"1,995",998,3.9,3.9,Casual,Cotton,Solid/Plain,N/A,Regular,N/A,N/A,High Waist,N/A,Oriental Trading Company,India
3322,Green Solid Bandeau Crop Top,"1,395",907,5.0,5.0,Party,Rayon,Solid/Plain,Slip On,Fitted,Sleeveless,Crop Tops,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
3323,Black Polyester Top For Women,"1,799",738,3.9,3.9,Casual,Polyester,Floral,Elastic,Comfortable,Full Sleeves,Crop Tops,N/A,Sweetheart,Lueur Vestures Pvt Ltd,India
3324,Women Ebony Grey Chinos Trousers,"1,299","1,299",NaN,0,Formal,Cotton,Solid/Plain,Pull On,Tapered,N/A,N/A,Mid Waist,N/A,Go Fashion India Ltd. (go Colors),India
3325,Black Textured Fit & Flare Dress,"2,999","2,700",NaN,0,Casual,Polyester,Textured,Pull On,Comfortable,Balloon Sleeve,Mini,N/A,Collar Neck,Only Retail Private Limited_parent,India
3326,New Black Solid Trousers,"3,199","2,080",5.0,5.0,Casual,Polyester,Solid/Plain,Button Fly,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,Turkey
3327,Black Solid Wide Leg Jumpsuit,"4,199","3,150",NaN,0,Casual,Woven,Solid/Plain,Zipper,Regular,Sleeveless,Jumpsuits,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
3328,Black Stripes Co-ords Midi Dress (Set of 2),"3,799",912,NaN,0,Party,Polyester,Stripes,Pull On,Comfortable,Full Sleeves,N/A,N/A,Turtle Neck,Purvaja,India
3329,Navy Blue & Pink Floral Printed Fit And Flare Dress,"2,099",840,4.0,4.0,Casual,Polyester,Printed,Zip,Comfortable,Half Sleeves,Maxi,N/A,V-Neck,Epic Brands Pvt Ltd,India
3330,Solid Off-shoulder Twist Bodysuit,"1,799","1,799",NaN,0,Casual,Knitted,Solid/Plain,N/A,N/A,Half Sleeves,N/A,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,China
3331,Basics White Solid Round Neck T-shirt,845,634,4.4,4.4,Everyday Essentials,Cotton,Solid/Plain,N/A,Comfortable,Half Sleeves,N/A,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
3332,Curve Multicolor Floral Sleeveless Maxi Dress,"2,795","1,957",5.0,5.0,Casual,Chiffon,Floral,Side Closure,Comfortable,Sleeveless,Maxi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
3333,Deep V-Neck Ribbed Sweater in Black,"1,899","1,710",NaN,0,Casual,Blended Fabric,Solid/Plain,N/A,Normal,Full Sleeves,N/A,N/A,Plunging Neck,Nykaa Fashion Pvt Ltd,Turkey
3334,Lace Trim Scoop Neck Midi Dress,"3,899","3,120",4.0,4.0,Casual,Woven,Lace,Tie-Ups,Regular,Sleeveless,Midi,N/A,Scoop Neck,Nykaa Fashion Pvt Ltd,China
3335,Cotton Square Neck Knitted T-Shirt - Red,"1,295",933,4.1,4.1,Work,Cotton,Solid/Plain,N/A,Regular,Half Sleeves,N/A,N/A,Square Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
3336,Black Solid Maxi Dress,"5,399","2,700",3.6,3.6,Party,Polyester,Solid/Plain,N/A,Regular,Three Fourth Sleeves,Maxi,N/A,Round Neck,Mish Desings Limited,India
3337,Stretchable Polyester V Neck Knotted Sleeveless Crop Top Black,"1,599",384,5.0,5.0,Casual,Polyester,Solid/Plain,Slip On,Regular,Sleeveless,Crop Tops,N/A,V-Neck,P Inspiration_parent,India
3338,Green Jacquard Full Sleeves Blazer,"6,595","5,606",5.0,5.0,Casual,Polyester,Printed,Button Fly,Comfortable,Full Sleeves,Blazer,N/A,Notched Lapel,Nykaa Fashion Pvt Ltd,India
3339,Ophelia Open Back Cutwork Top,"5,800","3,295",5.0,5.0,Casual,Polyester,Self Design,Back Closure,Normal,Half Sleeves,Regular,N/A,Round Neck,Forever New Apparels Pvt Ltd_parent,China
3340,Women Casual Black Colour Mandarin Neck Floral Regular Top,"1,599",720,NaN,0,Casual,Georgette,Floral,Button Fly,Comfortable,Half Sleeves,Regular,N/A,Mandarin Neck,Epic Brands Pvt Ltd,India
3341,Women's Black Expecto Graphic Printed Oversized T-shirt,"1,249",600,NaN,0,Casual,Cotton,Graphic,N/A,Boxy,Half Sleeves,N/A,N/A,Round Neck,Bewakoof Brands Pvt. Ltd._parent,India
3342,Teal Smocked Round Neck Full Sleeved Mini Dress,"3,690","1,661",4.0,4.0,Party,Modal,Self Design,Back Closure,Normal,Full Sleeves,Mini,N/A,Round Neck,Kazo Fashion Pvt Ltd_mp,India
3343,Women Solid Stylish Left Side Cut Casual Dresses,"2,199","1,100",3.8,3.8,Casual,Crepe,Solid/Plain,Zip,Fitted,Puff Sleeves,Knee Length,N/A,Round Neck,Campussutra Retail Private Limited_mp,India
